"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"45","Salix phylicifolia","SLA",5,2,10.1317122593718,2.3156703325427,2.03643448590574e-10,2.00994590282008e-11,2.00996083761847e-11,8.67975840337263e-12,-24.6303207848252,5,2,10.1317122593718,2.3156703325427,2.03643448590574e-10,2.00994590282008e-11,2.00996083761847e-11,8.67975840337263e-12,-24.6303207848252
"46","Salix polaris","SLA",63,16,13.29217978,2.58717587582971,2.69778160586799,0.268700193821999,0.199723462678991,0.104286796097352,-1.61082155583233,5,4,12.13684211,2.4962456290588,0.660604410208965,0.0571925847248509,0.0561120209632378,0.0232064426195845,-2.88040521198804
"47","Salix pulchra","SLA",152,12,11.2681120890694,2.42197679752139,2.37963367869988,0.236870139462806,0.206759210454115,0.0979105879829765,-1.57620039732035,5,3,12.03,2.48740352998659,3.56461553322933,0.269542364612449,0.270573288149022,0.105738716344298,-1.30721228153619
"48","Salix reticulata","SLA",137,23,9.947976879,2.29736920175269,1.83877594428381,0.183921916189037,0.181991493830707,0.0800947354697525,-1.70379533019148,5,5,9.31443299,2.2315651315621,0.9333016914825,0.102325333061149,0.101635788261235,0.0462348471007995,-2.28635955919635
"49","Salix rosmarinifolia","SLA",5,2,9.52380952380952,2.25379492882461,5.21404292140007e-12,5.47528048700912e-13,5.47474506747226e-13,2.42936054961554e-13,-28.2334604973229,5,2,9.52380952380952,2.25379492882461,5.21404292140007e-12,5.47528048700912e-13,5.47474506747226e-13,2.42936054961554e-13,-28.2334604973229
"50","Salix rotundifolia","SLA",10,1,11.4795345901816,2.44001698461049,3.95129165713814,0.243588557837635,0.313055789356493,0.0972851944363713,-1.16137386356941,5,1,10.7282768777614,2.37288295453535,0.815050693236782,0.0723429508172058,0.0731057416643356,0.0300273532082928,-2.61584836997118
"51","Salix vestita","SLA",10,1,7.325,1.99067248071376,1.20134286437211,0.149915271103582,0.154388452362986,0.0734370477491674,-1.86828343458357,5,1,8.343,2.12142286391994,1.31463618541405,0.158460401374973,0.157226802379272,0.0749707792142599,-1.85006591492438
"52","Sibbaldia procumbens","SLA",105,21,16.18333333,2.78398190586325,2.50910655375014,0.151250840967453,0.151452273417555,0.0540925613873739,-1.88748473061096,5,5,15.795,2.75969343425405,1.64245308100762,0.114679169599927,0.111301439239248,0.0426864780267083,-2.195513089614
"53","Vaccinium myrtilloides","SLA",34,8,15.6243387109688,2.74882987222884,5.63687802372253,0.303269388545136,0.360539194320768,0.112317593331183,-1.02015460605664,5,3,11.2788018,2.42292501702355,4.69741106290259,0.306648636536964,0.362651863369217,0.121728952557942,-1.0143119589832
"54","Vaccinium myrtillus","SLA",464,105,19.2372562145,2.9568485263223,5.53063509010707,0.345140861441641,0.286136199541923,0.118560481495267,-1.25128735934552,5,5,20.41444444,3.01624271107771,4.26175594671029,0.219031960632439,0.207619205514582,0.0729311246760286,-1.57204961985675
"55","Vaccinium oxycoccos","SLA",49,2,8.8494674556213,2.18035728270321,3.27864279457759,0.496702683405456,0.404727767079823,0.250039420705524,-0.904540617939715,5,1,9.51345454545455,2.25270706458756,4.06283677911702,0.60565796930265,0.510394996712632,0.311826422709261,-0.672570349678615
"56","Vaccinium uliginosum","SLA",375,55,12.91619448,2.55848191007595,2.85532539495399,0.20619474327466,0.210564454723364,0.0797424034585083,-1.55796347451805,5,3,9.99989641,2.30257473394039,1.47833026998347,0.148855694465062,0.14595672262554,0.0645342097920398,-1.92444512158802
"57","Vaccinium vitis-idaea","SLA",332,98,6.05597422,1.80104524429678,2.07845192670581,0.271193308880966,0.305650933136108,0.144440362423864,-1.18531156955571,5,5,5.325495495,1.67250575797077,1.79711438744224,0.265391634852644,0.274320779287638,0.143396337260235,-1.29345713003376
